region_id,name,country,is_target,tmax_mean,warm_tmax,precip_mm,warm_precip_mm,heat_days,frost_days,gdd10,dry_spell,years
US_KS_RENO,Reno County Kansas,US,1,20.53,32.92,770.0,302.0,32.8,106.8,2562.0,32.3,20
AR_MARCOSJUAREZ,Marcos Juarez Argentina,AR,0,25.28,32.22,956.0,370.0,32.9,9.8,3157.0,39.5,20
AR_PERGAMINO,Pergamino Argentina,AR,0,23.85,30.98,1044.0,363.0,21.4,11.4,2787.0,33.5,20
AU_DUBBO,Dubbo Australia,AU,0,24.88,32.9,577.0,188.0,36.6,4.3,3062.0,31.4,20
AU_HORSHAM,Horsham Australia,AU,0,22.51,30.79,459.0,95.0,24.8,0.8,2232.0,30.3,20
AU_NORTHAM,Northam Australia,AU,0,25.84,34.46,440.0,54.0,54.1,0.2,3187.0,39.7,20
AU_WAGGA,Wagga Wagga Australia,AU,0,22.73,31.66,597.0,164.0,24.1,6.1,2492.0,26.1,20
BR_LONDRINA,Londrina Brazil,BR,0,27.22,29.33,1459.0,485.0,8.7,0.1,4230.0,29.4,20
BR_PASSOFUNDO,Passo Fundo Brazil,BR,0,24.0,28.21,1682.0,384.0,2.1,3.9,3140.0,13.9,20
CA_SK_REGINA,Regina Saskatchewan,CA,0,10.3,25.96,398.0,170.0,2.8,186.1,1121.0,29.7,20
ES_VALLADOLID,Valladolid Spain,ES,0,19.45,29.65,425.0,55.0,10.3,51.0,1754.0,44.4,20
FR_CHARTRES,Chartres France,FR,0,15.57,23.71,673.0,166.0,0.8,52.3,1171.0,21.0,20
KZ_KOSTANAY,Kostanay Kazakhstan,KZ,0,8.19,26.09,392.0,131.0,3.3,186.4,1160.0,27.6,20
RU_KRASNODAR,Krasnodar Russia,RU,0,18.59,31.51,727.0,150.0,21.8,76.2,2198.0,22.7,20
RU_STAVROPOL,Stavropol Russia,RU,0,16.74,29.46,564.0,157.0,9.4,108.5,1871.0,24.5,20
TR_KONYA,Konya Turkey,TR,0,18.29,29.79,379.0,43.0,7.2,99.5,1766.0,51.8,20
UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,UA,0,14.86,28.72,513.0,145.0,6.4,133.5,1652.0,26.7,20
UA_POLTAVA,Poltava Ukraine,UA,0,14.09,28.47,578.0,159.0,6.3,138.6,1607.0,23.2,20
US_CO_STERLING,Sterling Colorado,US,0,18.85,31.73,438.0,183.0,27.3,141.4,1961.0,35.8,20
US_IA_AMES,Ames Iowa,US,0,15.54,28.86,849.0,325.0,5.8,143.1,1860.0,24.6,20
US_IL_CHAMPAIGN,Champaign Illinois,US,0,17.07,28.77,1024.0,305.0,3.5,120.3,2025.0,16.2,20
US_KS_GARDENCITY,Garden City Kansas,US,0,21.12,33.39,544.0,243.0,43.6,111.6,2531.0,43.7,20
US_MO_COLUMBIA,Columbia Missouri,US,0,18.69,30.99,1027.0,336.0,16.8,110.2,2332.0,20.4,20
US_MS_GREENVILLE,Greenville Mississippi,US,0,24.16,34.31,1318.0,283.0,48.5,42.5,3444.0,19.0,20
US_ND_FARGO,Fargo North Dakota,US,0,12.27,27.94,610.0,245.0,5.1,169.8,1478.0,27.5,20
US_NE_HASTINGS,Hastings Nebraska,US,0,17.75,30.64,723.0,296.0,15.0,133.4,2095.0,32.6,20
US_OK_ENID,Enid Oklahoma,US,0,22.32,34.24,779.0,276.0,45.3,87.8,2935.0,30.9,20
US_TX_AMARILLO,Amarillo Texas,US,0,23.34,34.07,475.0,201.0,49.5,86.2,2805.0,45.4,20
US_TX_WACO,Waco Texas,US,0,26.3,35.68,903.0,189.0,68.2,24.1,3936.0,28.6,20
ZA_BETHLEHEM,Bethlehem South Africa,ZA,0,24.34,28.83,532.0,246.0,2.7,23.8,2473.0,71.8,20
ZA_MALMESBURY,Malmesbury South Africa,ZA,0,23.68,30.49,820.0,57.0,18.1,0.0,2866.0,34.8,20
