"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2025","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","24.5","4.0"
"SURVEY","2024","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","8.7","14.1"
"SURVEY","2023","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","13.1","11.9"
"SURVEY","2022","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","12.5","18.3"
"SURVEY","2021","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","19.6","13.6"
"SURVEY","2020","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","28.2","5.9"
"SURVEY","2019","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","28",""
"SURVEY","2018","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","27.7",""
"SURVEY","2017","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","27.7",""
"SURVEY","2016","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","25",""
"SURVEY","2015","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","34.2",""
"SURVEY","2014","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","17.8",""
"SURVEY","2013","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","22.4",""
"SURVEY","2012","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","10.7",""
"SURVEY","2010","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","17.4",""
"SURVEY","2009","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","20.5",""
"SURVEY","2007","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","19",""
"SURVEY","2006","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","13.4",""
"SURVEY","2005","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","25.5",""
"SURVEY","2004","YEAR","","COUNTY","OKLAHOMA","40","NORTH CENTRAL","40","GARFIELD","047","","","00000000","","SOYBEANS","SOYBEANS - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","27.2",""
