weighting,model,scenario,rank,region_id,region,distance
grouped,ACCESS-CM2,ssp245,1,US_OK_ENID,Enid Oklahoma,0.584
grouped,ACCESS-CM2,ssp245,2,US_KS_GARDENCITY,Garden City Kansas,0.971
grouped,ACCESS-CM2,ssp245,3,US_TX_AMARILLO,Amarillo Texas,1.065
grouped,ACCESS-CM2,ssp245,4,US_MO_COLUMBIA,Columbia Missouri,1.629
grouped,ACCESS-CM2,ssp245,5,US_NE_HASTINGS,Hastings Nebraska,1.777
grouped,ACCESS-CM2,ssp245,6,US_CO_STERLING,Sterling Colorado,1.823
grouped,ACCESS-CM2,ssp245,7,AR_MARCOSJUAREZ,Marcos Juarez Argentina,1.881
grouped,ACCESS-CM2,ssp245,8,US_TX_WACO,Waco Texas,1.953
grouped,ACCESS-CM2,ssp245,9,RU_KRASNODAR,Krasnodar Russia,2.024
grouped,ACCESS-CM2,ssp245,10,AR_PERGAMINO,Pergamino Argentina,2.08
grouped,ACCESS-CM2,ssp245,11,AU_DUBBO,Dubbo Australia,2.093
grouped,ACCESS-CM2,ssp245,12,US_MS_GREENVILLE,Greenville Mississippi,2.137
grouped,ACCESS-CM2,ssp245,13,RU_STAVROPOL,Stavropol Russia,2.246
grouped,ACCESS-CM2,ssp245,14,US_IA_AMES,Ames Iowa,2.259
grouped,ACCESS-CM2,ssp245,15,US_IL_CHAMPAIGN,Champaign Illinois,2.26
grouped,ACCESS-CM2,ssp245,16,AU_WAGGA,Wagga Wagga Australia,2.387
grouped,ACCESS-CM2,ssp245,17,ZA_BETHLEHEM,Bethlehem South Africa,2.525
grouped,ACCESS-CM2,ssp245,18,UA_POLTAVA,Poltava Ukraine,2.601
grouped,ACCESS-CM2,ssp245,19,UA_KROPYVNYTSKYI,Kropyvnytskyi Ukraine,2.602
grouped,ACCESS-CM2,ssp245,20,US_ND_FARGO,Fargo North Dakota,2.776
grouped,ACCESS-CM2,ssp245,21,AU_HORSHAM,Horsham Australia,2.937
grouped,ACCESS-CM2,ssp245,22,BR_LONDRINA,Londrina Brazil,3.151
grouped,ACCESS-CM2,ssp245,23,FR_CHARTRES,Chartres France,3.294
grouped,ACCESS-CM2,ssp245,24,CA_SK_REGINA,Regina Saskatchewan,3.402
grouped,ACCESS-CM2,ssp245,25,BR_PASSOFUNDO,Passo Fundo Brazil,3.506
grouped,ACCESS-CM2,ssp245,26,KZ_KOSTANAY,Kostanay Kazakhstan,3.551
grouped,ACCESS-CM2,ssp245,27,AU_NORTHAM,Northam Australia,3.677
grouped,ACCESS-CM2,ssp245,28,ZA_MALMESBURY,Malmesbury South Africa,4.062
grouped,ACCESS-CM2,ssp245,29,ES_VALLADOLID,Valladolid Spain,4.138
grouped,ACCESS-CM2,ssp245,30,TR_KONYA,Konya Turkey,4.27
grouped,ACCESS-CM2,ssp585,1,US_OK_ENID,Enid Oklahoma,0.587
grouped,ACCESS-CM2,ssp585,2,US_KS_GARDENCITY,Garden City Kansas,0.943
grouped,ACCESS-CM2,ssp585,3,US_TX_AMARILLO,Amarillo Texas,1.082
grouped,ACCESS-CM2,ssp585,4,US_MO_COLUMBIA,Columbia Missouri,1.556
grouped,ACCESS-CM2,ssp585,5,US_NE_HASTINGS,Hastings Nebraska,1.706
